5.3530,9.5718
15.3910,9.6238
25.4200,9.6703
35.4570,9.6342
45.4920,9.8129
55.5260,9.7528
65.5740,9.6535
75.6080,9.7068
85.6380,9.5221
95.6770,9.0891
105.7080,9.1537
115.7450,9.1552
125.7840,9.1552
135.8190,9.0730
145.8540,9.1247
155.8850,9.0454
165.9240,8.9810
175.9610,8.8211
186.0000,8.7460
196.0400,8.7862
206.0780,8.5460
216.1180,8.4425
226.1530,8.3457
236.1940,8.4086
246.2280,8.1119
256.2680,7.8512
266.3030,7.9367
276.3400,7.8783
286.3780,7.9575
296.4110,8.0882
306.4480,8.0988
316.4880,8.0560
326.5240,8.3279
336.5620,8.7630
346.5990,8.9201
356.6350,8.7732
366.6720,8.6748
376.7180,8.6234
386.7540,8.3460
396.7910,8.1579
406.8290,8.2620
416.8680,8.3118
426.9010,8.0761
436.9370,8.0434
446.9740,8.0417
457.0130,7.8754
467.0510,8.0134
477.0890,7.9223
487.1250,7.9165
497.1640,7.9155
507.2040,7.9590
517.2430,7.8040
527.2810,7.9111
537.3130,7.8113
547.3520,7.8458
557.3910,7.7251
567.4280,7.7936
577.4680,8.2064
587.5080,8.2977
597.5450,8.1910
607.5850,8.1345
617.6270,8.2045
627.6660,8.2544
637.7020,8.3647
647.7440,8.3647
657.7790,8.5694
667.8280,8.5419
677.8710,8.5157
687.9040,8.5676
697.9520,8.4613
707.9960,8.3623
718.0390,8.1887
728.0750,8.1189
738.1150,8.0713
748.1560,7.9634
758.1960,8.0686
768.2330,8.1420
778.2720,8.0235
788.3170,8.0810
798.3560,8.1167
808.3960,8.0964
818.4300,7.7583
828.4720,7.7538
838.5110,7.7902
848.5520,7.9183
858.5880,7.8926
868.6280,7.9134
878.6670,7.8818
888.7080,7.8874
898.7480,7.7117
908.7870,7.5403
918.8350,7.3827
928.8770,7.1257
938.9200,6.9173
948.9620,7.1521
959.0100,7.1286
969.0490,7.1647
979.0860,7.2816
989.1290,7.3334
999.1690,7.2843
1009.2080,7.2191
1019.2470,7.4038
1029.2880,7.4694
1039.3230,7.3318
1049.3640,7.5549
1059.4080,7.3568
1069.4440,7.6145
1079.4820,7.3068
1089.5200,7.5448
1099.5640,7.5832
1109.6070,7.7131
1119.6480,7.4104
1129.6910,7.6591
1139.7320,7.7772
1149.7760,7.6020
1159.8210,7.6365
1169.8760,7.4028
1179.9210,7.3284
1189.9580,7.3284
1200.0000,7.2947
